Item Name,Count,Amount
Beef Ramen,328,"$5,032.52"
Lunch Special,308,"$4,160.47"
Beef Tossed Ramen,214,"$3,166.60"
Mai's BF Chicken Cutlet Combo,201,"$3,047.09"
Chicken Ramen,181,"$2,613.36"
Pork Ramen,173,"$2,413.66"
Beef Tossed Rice Noodle,146,"$2,343.52"
Sichuan Chili Wontons,181,"$2,027.16"
Chicken Rice Noodle Soup,132,"$1,922.45"
Beef Rice Noodle Soup,123,"$1,889.06"
House Ramen,112,"$1,830.92"
"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",129,"$1,761.18"
Chicken Tossed Rice Noodles,115,"$1,648.14"
Mai Special Fried Chicken(8),157,"$1,538.48"
Pork Tossed Ramen,116,"$1,553.80"
Chicken Fried Rice,130,"$1,568.64"
Pork Tossed Rice Noodle,100,"$1,355.56"
Chicken Tossed Ramen,101,"$1,439.54"
Steamed Pork Buns,233,"$1,190.88"
Shrimp Fried Rice,87,"$1,113.51"
Beef Fried Rice,75,$992.82
Fried Pork Dumplings(10),108,$970.51
House Rice Noodle Soup,61,$997.21
House Fried Rice,72,"$1,004.67"
Pork Rice Noodle Soup,63,$889.57
Steam Pork Dumplings(10),106,$948.27
Vegetable Ramen,50,$684.06
Cream Cheese Rangoon(6),117,$716.65
Brown Sugar Milk Tea w. boba,149,$601.79
House Tossed Rice Noodle,35,$560.46
Citrus Honey Fried Chicken  (8),53,$536.24
Tempura Shrimp(3),102,$487.66
Mai's Golden Flake Fried Chicken(8),50,$533.85
Crispy Spring Roll(3),132,$523.04
Chili Pepper Fried Chicken（8）,51,$509.24
Thai Milk Tea w. boba,98,$433.74
House Tossed Ramen,27,$443.31
Spicy Cucumber Salad,69,$378.50
Mai BF Chicken Cutlet Combo,20,$347.38
Vegetable Rice Noodle Soup,25,$355.64
Vegetable Fried Rice,31,$361.06
Pork Fried Rice,27,$344.44
Jumbo Chicken Tenders Combo (3),39,$378.75
Golden Coconut Crunch Chicken(8),33,$339.86
Wonton Soup,30,$328.39
Crispy Pork Egg Roll(3),75,$295.23
Vegetable Tossed Rice Noodle,24,$324.97
Vegetable Tossed Ramen,22,$305.12
Mai OG Fried Chicken Wings(4),51,$274.32
Brown Sugar Rice Cake (5),54,$289.82
Dr. Pepper,94,$279.40
Pepsi zero,91,$260.31
Pepsi,87,$253.94
Tangy Honey Mustard Fried Chicken (8),28,$259.41
Sweet Ice Tea,87,$247.16
Sweet Sesame Ball (6) w. red bean,48,$223.93
Strawberry Sunrise,61,$249.01
Mai's BF Chicken Cutlet,29,$218.02
Onion Glory Fried Chicken(8),23,$237.88
Golden Kiwi,49,$203.94
Unsweet Ice Tea,69,$201.11
Specialty Drink,69,$203.14
Mai Buffalo Chicken Wings(8),22,$214.18
Crispy French Fries(LG),43,$168.35
Lemonade,59,$175.02
Mango Milk Tea,40,$190.20
Strawberry Milk Tea,42,$186.52
Steam Pork Bun （3）,16,$113.94
Hot Tea,35,$103.03
Brown Sugar Milk Tea,22,$99.33
Strawberry Jas-Lemonade,23,$94.87
BF chicken cutlet combo,7,$92.50
Mango Jas-Lemonade,17,$72.87
Plain Fried Rice,18,$80.25
White Rice - DINE IN,48,$73.59
Starry - Sprite,23,$67.46
Matcha Milk Tea w. boba,16,$72.67
Peach Jas-Lemonade,13,$58.69
Jumbo Chicken Tenders(3),10,$61.24
Original Jas-Lemonade,13,$58.29
Gift Card,5,$45.00
Bottled Soda,15,$42.74
Ramen,17,$41.20
Lychee Jas-Lemonade,10,$37.81
Pork Bun (3),6,$35.94
Orange Crush,13,$38.73
Chunked Beef,10,$39.28
Rice Noodle,15,$36.91
Braised Pork,9,$29.82
Braised Egg （2 half）,15,$26.30
Thai Milk Tea,5,$24.37
White Rice,9,$26.92
Blueberry Jas-Lemonade,6,$20.52
Ramune - Strawberry,5,$18.23
BF chicken cutlet,2,$15.00
Braised Chicken,5,$14.20
Chili Pepper Fried Chicken (8),1,$11.99
Tangy Honey Mustard Fried Chicken(8),1,$11.99
Bottled Water,7,$12.64
Wasabi Spiced Fried Chicken (8),1,$9.99
Shrimp (8),4,$12.84
White Rice-To Go,3,$9.50
Crispy French Fries,2,$7.98
Pepsi Zero,2,$7.32
Ramune - Melon,2,$6.58
Sweet Tea,2,$5.98
Jumbo Chicken Tender (3),1,$5.50
Strawberry Milk Tea  (24oz),1,$5.50
Tropical Jas-Lemonade,2,$3.80
Coconut Milk,1,$3.66
Ramune - Original,1,$3.59
Brown Sugar Milk Tea w. Boba (24oz),1,$2.37
Pork Bun (1),1,$2.25
Open Food,1,$1.50
Popping boba -,1,$1.00
Mai‘s special Sauce,1,$1.00
Popping boba - -1,1,$0.00
Sliced Fruit  - 5 day expiration,17,$0.00
Brew Tea - 5 days exp,5,$0.00
Braised Chicken - 5 days exp,4,$0.00
Chunked Pork - 5 days exp,2,$0.00
Chunked Beef - 5 days exp,8,$0.00
Water,"2,140",$0.00
Braised Egg,2,$3.89
