Item Name,Count,Amount
Beef Tossed Ramen,321,"$4,564.29"
Beef Ramen,273,"$3,986.72"
Lunch Special,213,"$2,994.75"
Chicken Rice Noodle Soup,173,"$2,486.42"
Chicken Ramen,127,"$1,888.36"
Beef Tossed Rice Noodle,112,"$1,798.91"
Pork Tossed Ramen,141,"$1,907.81"
Chicken Tossed Ramen,110,"$1,541.79"
House Ramen,84,"$1,428.07"
Mai Special Fried Chicken(8),152,"$1,531.62"
Pork Ramen,95,"$1,321.41"
Chicken Tossed Rice Noodles,80,"$1,168.76"
Beef Rice Noodle Soup,66,"$1,036.74"
BF chicken cutlet combo,77,$943.49
Sichuan Chili Wontons,82,$910.64
Fried Pork Dumplings(10),85,$763.31
"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",55,$696.19
Cream Cheese Rangoon(6),110,$660.64
Pork Tossed Rice Noodle,48,$633.90
Mai's Golden Flake Fried Chicken(8),67,$680.49
Steam Pork Dumplings(10),71,$633.50
Mai OG Fried Chicken Wings(4),116,$587.70
Crispy Spring Roll(3),137,$549.00
Vegetable Ramen,39,$528.97
Chicken Fried Rice,44,$571.13
Golden Coconut Crunch Chicken(8),52,$524.09
Crispy Pork Egg Roll(3),119,$477.61
Pork Rice Noodle Soup,33,$444.59
Pork Bun (3),74,$437.03
House Fried Rice,29,$419.20
Brown Sugar Milk Tea w. Boba (24oz),101,$424.51
Tempura Shrimp(3),76,$376.69
Dr. Pepper,111,$327.63
House Rice Noodle Soup,21,$339.32
Citrus Honey Fried Chicken  (8),28,$275.98
Shrimp Fried Rice,19,$257.36
Vegetable Rice Noodle Soup,22,$314.18
Beef Fried Rice,18,$247.79
Mai BF Chicken Cutlet Combo,16,$225.00
Sweet Ice Tea,83,$238.63
Steam Pork Bun （3）,37,$251.63
Diet Pepsi,67,$198.32
Specialty Drink,78,$224.43
Unsweet Ice Tea,78,$218.33
Thai Milk Tea w. Boba (24oz),50,$200.73
Pepsi,73,$208.47
Onion Glory Fried Chicken(8),19,$180.30
Pork Fried Rice,13,$165.57
Spicy Cucumber Salad,29,$152.92
Vegetable Tossed Rice Noodle,11,$161.14
Milk Tea(24oz),28,$152.95
Golden kiwi (16oz),42,$161.82
Strawberry Sunrise（16oz),42,$152.64
Strawberry Sunrise Tea,33,$122.66
Mai Buffalo Chicken Wings(8),14,$140.33
Jumbo Chicken Tenders Combo (3),10,$98.46
Starry - Sprite,35,$100.88
Thai Milk Tea (24oz),17,$91.20
Vegetable Fried Rice,7,$87.21
BF chicken cutlet,13,$85.12
Jumbo Chicken Tender (3),17,$84.58
Strawberry Sunrise（24oz),20,$85.02
Brown Sugar Rice Cake (5),14,$75.69
Crispy French Fries,22,$85.08
Lemonade,27,$76.64
Chili Pepper Fried Chicken（8）,7,$69.43
Tangy Honey Mustard Fried Chicken (8),8,$77.46
Vegetable Tossed Ramen,5,$67.24
Sweet Sesame Ball (6) w. red bean,15,$71.72
Golden kiwi (24oz),17,$76.02
Wasabi Spiced Fried Chicken(8),5,$59.95
Wasabi Spiced Fried Chicken (8),6,$59.94
Mango Milk Tea (24oz),13,$59.73
Brown Sugar Milk Tea NO BOBA (24oz),15,$56.89
Thai Milk Tea NO BOBA (24oz),17,$67.67
Strawberry Milk Tea  (24oz),15,$67.07
House Tossed Ramen,4,$65.88
Orange Crush,15,$45.72
Hot Tea,18,$52.81
Golden kiwi,12,$42.72
Tangy Honey Mustard Fried Chicken(8),3,$35.97
Plain Fried Rice,10,$38.87
Pepsi zero,11,$32.51
Chunked Beef,7,$27.87
Crispy French Fries(LG),6,$26.34
Bottled Soda,17,$30.15
Rice Noodle,12,$18.35
Pork Bun (1),9,$19.91
Ramen,13,$19.33
Braised Egg （2 half）,9,$17.66
House Tossed Rice Noodle,1,$15.68
White Rice-To Go,4,$14.00
White Rice - DINE IN,16,$15.80
Chili Pepper Fried Chicken (8),1,$11.99
Shrimp (8),5,$14.88
Bottled Water,7,$13.70
Chicken Tender combo w fries and drink,1,$10.50
Braised Pork,3,$8.62
Milkis,2,$7.18
Unsweet Tea,2,$7.18
White Rice,3,$11.20
Gift Card,1,$5.99
Open Food,3,$5.75
Ramune - Melon,1,$3.59
Starry,1,$3.59
Ramune - Strawberry,1,$3.59
Coconut Milk,1,$3.59
Ramune - Grape,1,$3.59
Braised Chicken,2,$6.58
Mai‘s special Sauce,2,$2.40
Braised Egg,2,$4.78
Braised Egg （2）,1,$1.89
Mai‘s Special Sauce,2,$1.98
Chunked Pork - 5 days exp,2,$0.00
Water,"1,149",$0.00
Chinese Bockchoy- 5 days exp,4,$0.00
Braised Chicken - 5 days exp,1,$0.00
Sliced Fruit  - 5 day expiration,26,$0.00
Brew Tea - 5 days exp,7,$0.00
Ramune - Orange,1,$3.59
