Item Name,Count,Amount
Beef Tossed Ramen,286,"$4,248.69"
Lunch Special,222,"$3,089.08"
Beef Ramen,195,"$2,907.79"
Chicken Rice Noodle Soup,153,"$2,196.39"
Beef Tossed Rice Noodle,113,"$1,771.24"
BF chicken cutlet combo,142,"$1,722.24"
Pork Tossed Ramen,134,"$1,769.95"
Chicken Ramen,117,"$1,724.75"
Beef Rice Noodle Soup,81,"$1,241.45"
Mai Special Fried Chicken(8),127,"$1,283.91"
Chicken Tossed Rice Noodles,78,"$1,176.77"
Sichuan Chili Wontons,103,"$1,187.40"
Chicken Tossed Ramen,81,"$1,138.02"
House Ramen,65,"$1,077.79"
Pork Ramen,77,"$1,034.83"
Golden Coconut Crunch Chicken(8),71,$715.74
Mai's Golden Flake Fried Chicken(8),66,$660.27
Chicken Fried Rice,47,$588.99
Fried Pork Dumplings(10),63,$576.99
House Fried Rice,37,$560.07
Mai OG Fried Chicken Wings(4),112,$566.58
Cream Cheese Rangoon(6),95,$555.17
Pork Tossed Rice Noodle,43,$575.37
Crispy Pork Egg Roll(3),121,$482.76
Crispy Spring Roll(3),119,$475.50
Steam Pork Dumplings(10),54,$475.34
Brown Sugar Milk Tea w. Boba (24oz),103,$441.87
Pork Rice Noodle Soup,29,$389.42
Tempura Shrimp(3),83,$407.11
Vegetable Ramen,25,$362.99
"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",24,$302.59
Onion Glory Fried Chicken(8),31,$307.44
House Rice Noodle Soup,20,$339.85
Dr. Pepper,90,$268.22
Spicy Cucumber Salad,47,$252.68
Golden kiwi,62,$226.72
Shrimp Fried Rice,18,$249.85
Citrus Honey Fried Chicken  (8),24,$241.80
Unsweet Ice Tea,79,$232.93
Beef Fried Rice,18,$243.61
Strawberry Sunrise Tea,62,$235.51
Pepsi,75,$216.23
BF chicken cutlet,33,$222.28
Sweet Ice Tea,76,$220.93
Mai Buffalo Chicken Wings(8),21,$207.85
Vegetable Rice Noodle Soup,15,$198.84
Specialty Drink,72,$212.94
Vegetable Fried Rice,14,$171.38
Pork Fried Rice,12,$153.56
Pork Bun (3),28,$159.05
Diet Pepsi,55,$161.90
Brown Sugar Rice Cake (5),22,$119.12
Jumbo Chicken Tender (3),21,$118.76
Vegetable Tossed Rice Noodle,8,$113.36
Crispy French Fries,36,$140.51
Mai's Wing Wheel,8,$99.79
Tangy Honey Mustard Fried Chicken (8),12,$111.70
Sweet Sesame Ball (6) w. red bean,20,$94.80
Milk Tea(20oz),19,$95.35
Thai Milk Tea w. Boba (24oz)-1,19,$88.18
Starry - Sprite,28,$81.51
Chili Pepper Fried Chicken（8）,7,$69.00
Wasabi Spiced Fried Chicken (8),7,$68.93
Vegetable Tossed Ramen,7,$99.05
Braised Chicken Thigh,21,$66.77
Thai Milk Tea w. Boba (24oz),15,$65.55
Lemonade,23,$64.11
Mai BF Chicken Cutlet Combo,5,$70.00
Chili Pepper Fried Chicken (8),4,$45.96
Cream Cheese Wonton（6）,7,$38.93
Brown Sugar Milk Tea NO BOBA (24oz),9,$35.56
Rice Noodle,25,$37.73
Wasabi Spiced Fried Chicken(8),3,$33.97
Bottled Soda,17,$32.61
White Rice - DINE IN,35,$34.50
Mango Milk Tea (24oz),7,$32.87
White Rice,7,$26.60
Plain Fried Rice,8,$29.99
Hot Tea,12,$29.36
Orange Crush,7,$22.13
Mango Milk Tea,4,$19.62
House Tossed Rice Noodle,1,$15.99
House Tossed Ramen,2,$31.98
Thai Milk Tea NO BOBA (24oz),5,$19.71
Bottled Water,7,$15.10
Thai Milk Tea,4,$20.40
Crispy French Fries(LG),3,$14.37
Pepsi Zero,4,$14.36
Braised Chicken,4,$11.88
Pork Bun (1),5,$10.01
Tangy Honey Mustard Fried Chicken(8),3,$33.97
Ramen,6,$8.55
Braised Egg,4,$8.36
Chunked Beef,2,$7.87
Strawberry Milk Tea  (24oz),3,$11.33
Ramune - Original,2,$5.98
Braised Pork,2,$5.87
Mai‘s Special Sauce,6,$5.80
Shrimp (8),2,$5.25
Open Food,1,$5.00
Sweet Tea,1,$3.59
Ramune - Melon,1,$3.59
北冰洋 Orange Soda,1,$3.59
Ramune - Strawberry,1,$2.99
Mai‘s special Sauce,2,$2.20
Braised Egg （2）,1,$1.94
White Rice-To Go,1,$1.75
Add Boba,1,$0.75
Water,"1,156",$0.00
Thai Milk Tea (24oz),1,$5.70
Golden kiwi,9,$32.49
