Item name,braised beef used (g),Braised Chicken(g),Braised Pork(g),Egg(count),Rice(g),Ramen (count),Rice Noodles(g),chicken thigh (pcs),Chicken Wings (pcs),flour (g),Pickle Cabbage,Green Onion,Cilantro,White onion,Peas(g),Carrot(g),Boychoy(g),Tapioca Starch
Beef Tossed Ramen,140.0,,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,50.0,
Beef Ramen,140.0,,,0.5,,1.0,,,,,,20.0,20.0,,,,,
Beef Fried Rice,100.0,,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
Pork Fried Rice,,,100.0,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
Chicken Fried Rice,,100.0,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
Fried Wings,,,,,,,,,8.0,50.0,,,,,,,,
Pork Tossed Ramen,,,140.0,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
Pork Ramen,,,140.0,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
Chicken Tossed Ramen,,140.0,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
Chicken Ramen,,140.0,,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
Chicken Cutlet,,,,0.5,,,,1.0,,,,,,,,,,60.0
Beef Tossed Rice Noodles,140.0,,,0.5,,,300.0,,,,50.0,20.0,20.0,,,,,
Pork Tossed Rice Noodles,,,140.0,0.5,,,300.0,,,,50.0,20.0,20.0,,,,,
Chicken Tossed Rice Noodles,,140.0,,0.5,,,300.0,,,,50.0,20.0,20.0,,,,,
Beef Rice Noodle Soup,140.0,,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
Pork Rice Noodle Soup,,,140.0,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
Chicken Rice Noodle Soup,,140.0,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
