Item Name,Count,Amount
Beef Tossed Ramen,468,"$6,921.26"
Beef Ramen,339,"$5,045.65"
Lunch Special,269,"$3,783.26"
Pork Tossed Ramen,260,"$3,526.47"
Chicken Rice Noodle Soup,233,"$3,303.84"
Chicken Ramen,222,"$3,313.00"
Mai Special Fried Chicken(8),309,"$3,089.87"
Beef Tossed Rice Noodle,195,"$3,102.44"
Chicken Tossed Ramen,200,"$2,906.30"
Beef Rice Noodle Soup,147,"$2,316.04"
Pork Ramen,131,"$1,845.21"
Chicken Tossed Rice Noodles,118,"$1,726.89"
House Ramen,91,"$1,474.52"
Mai's Golden Flake Fried Chicken(8),138,"$1,378.05"
Fried Pork Dumplings(10),119,"$1,063.71"
Pork Tossed Rice Noodle,72,$992.70
Golden Coconut Crunch Chicken(8),96,$982.35
Pork Rice Noodle Soup,72,$986.46
Chicken Fried Rice,80,"$1,000.10"
Mai OG Fried Chicken Wings(4),193,$960.71
Brown Sugar Milk Tea w. Boba (24oz),196,$888.71
Steam Pork Dumplings(10),94,$819.22
Crispy Spring Roll(3),185,$726.44
House Rice Noodle Soup,42,$684.02
House Fried Rice,46,$692.23
Tempura Shrimp(3),138,$674.01
Crispy Pork Egg Roll(3),162,$651.24
Onion Glory Fried Chicken(8),59,$589.13
Strawberry Sunrise Tea,152,$555.16
Sichuan Chili Wontons,50,$546.94
Vegetable Ramen,33,$440.00
Vegetable Rice Noodle Soup,30,$408.55
Citrus Honey Fried Chicken  (8),43,$434.87
Beef Fried Rice,28,$377.50
Shrimp Fried Rice,29,$389.91
Mai Buffalo Chicken Wings(8),35,$346.69
Golden kiwi,87,$316.02
Dr. Pepper,118,$344.71
Cream Cheese Wonton（6）,60,$352.83
Specialty Drink,115,$338.50
Diet Pepsi,97,$284.98
Spicy Cucumber Salad,46,$249.14
Pepsi,83,$238.52
Cream Cheese Rangoon(6),47,$263.68
Pork Fried Rice,17,$213.55
Sweet Ice Tea,79,$228.04
Unsweet Ice Tea,69,$197.17
Crispy French Fries,47,$184.56
BF chicken cutlet combo,20,$242.53
Wasabi Spiced Fried Chicken (8),16,$158.84
Tangy Honey Mustard Fried Chicken (8),19,$186.57
Vegetable Fried Rice,14,$177.00
Milk Tea(20oz),31,$153.81
Vegetable Tossed Ramen,11,$153.95
Wasabi Spiced Fried Chicken(8),12,$138.88
Tangy Honey Mustard Fried Chicken(8),11,$129.49
Chili Pepper Fried Chicken（8）,13,$129.11
Starry - Sprite,45,$132.29
Braised Chicken Thigh,36,$106.77
Vegetable Tossed Rice Noodle,9,$114.96
Brown Sugar Rice Cake,22,$117.14
Lemonade,35,$100.73
Jumbo Chicken Tender (3),19,$90.93
House Tossed Rice Noodle,4,$63.16
Chili Pepper Fried Chicken (8),6,$62.94
Brown Sugar Milk Tea NO BOBA (24oz),17,$66.20
White Rice - DINE IN,52,$52.44
Bottled Soda,21,$42.19
Hot Tea,13,$38.39
Crispy French Fries(LG),8,$33.92
BF chicken cutlet,10,$65.93
Plain Fried Rice,15,$45.49
Orange Crush,10,$29.74
Rice Noodle,17,$25.80
White Rice-To Go,6,$21.00
Sweet Sesame Ball,5,$25.02
White Rice,5,$20.16
House Tossed Ramen,2,$31.44
Ramune - Original,4,$13.76
Chunked Beef,4,$15.96
Braised Chicken,5,$16.90
soup to go,7,$10.47
Ramen,6,$9.00
Mai‘s Special Sauce,11,$10.72
北冰洋 Orange Soda,2,$7.18
Pepsi Zero,2,$7.18
Sweet Tea,2,$7.18
Braised Pork,3,$9.22
Shrimp,2,$5.98
Bottled Water,3,$5.97
Open Food,2,$4.52
Braised Egg,2,$4.30
Mai‘s special Sauce,4,$4.26
Ramune - Orange,1,$3.59
Starry,1,$3.59
Ramune - Melon,1,$2.99
Ramune - Strawberry,2,$6.28
Water,"2,122",$0.00
Sweet Sesame Ball (6) w. red bean,1,$4.50
Golden kiwi,5,$18.38
