Category,Count,Amount
Tossed Rice Noodle,391,"$5,971.41"
Tossed Ramen,460,"$6,591.08"
Ramen,940,"$14,097.72"
Fried Chicken,939,"$10,965.23"
Fruit Tea,105,$460.01
Fried Rice,492,"$6,911.21"
Additonal,198,$508.54
Appetizer,"1,241","$7,416.47"
Dessert,31,$153.64
Lunch Special,366,"$5,149.01"
Milk Tea,555,"$2,527.77"
Special Offer,115,"$1,344.64"
Wonton,213,"$2,406.52"
Drink,"2,996","$1,820.99"
Open Food,2,$9.31
Bingsu,12,$60.52
Combo Items,0,$0.00
Jas-Lemonade,104,$461.33
Rice Noodle,410,"$6,167.13"
Mai Dessert,33,$184.81
