Item Name,Count,Amount
Beef Ramen,362,"$5,626.37"
Lunch Special,398,"$5,606.57"
Mai's BF Chicken Cutlet Combo,285,"$4,312.18"
Pork Ramen,242,"$3,360.22"
Chicken Ramen,205,"$2,976.79"
Beef Tossed Ramen,188,"$2,867.41"
Beef Tossed Rice Noodle,154,"$2,519.72"
Mai Special Fried Chicken(8),210,"$2,225.58"
Sichuan Chili Wontons,185,"$2,054.87"
House Ramen,119,"$1,972.32"
"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",144,"$1,968.55"
Chicken Rice Noodle Soup,133,"$1,961.81"
Chicken Fried Rice,148,"$1,849.24"
Beef Rice Noodle Soup,115,"$1,807.11"
Pork Tossed Ramen,137,"$1,810.77"
Pork Tossed Rice Noodle,115,"$1,563.27"
Chicken Tossed Rice Noodles,104,"$1,523.75"
Steamed Pork Buns,321,"$1,423.98"
Pork Rice Noodle Soup,95,"$1,299.33"
Chicken Tossed Ramen,98,"$1,399.24"
House Rice Noodle Soup,81,"$1,301.92"
House Fried Rice,84,"$1,206.15"
Shrimp Fried Rice,84,"$1,112.14"
Fried Pork Dumplings(10),111,"$1,013.36"
Steam Pork Dumplings(10),116,"$1,011.17"
Cream Cheese Rangoon(6),148,$938.89
Beef Fried Rice,63,$831.05
Brown Sugar Milk Tea w. boba,169,$734.42
Thai Milk Tea w. boba,160,$716.20
Vegetable Fried Rice,32,$672.43
Crispy Spring Roll(3),133,$674.23
Vegetable Ramen,49,$679.60
House Tossed Rice Noodle,39,$646.75
Mai's Golden Flake Fried Chicken(8),56,$596.99
House Tossed Ramen,35,$568.00
Wonton Soup,48,$538.02
Pork Fried Rice,40,$534.80
Citrus Honey Fried Chicken  (8),48,$489.69
Golden Coconut Crunch Chicken(8),45,$454.18
Tempura Shrimp(3),95,$473.75
Vegetable Rice Noodle Soup,30,$440.89
Chili Pepper Fried Chicken（8）,44,$449.47
Spicy Cucumber Salad,75,$412.16
Vegetable Tossed Rice Noodle,29,$391.93
Matcha Milk Tea w. boba,81,$397.22
Mango Milk Tea,81,$383.84
Mai's BF Chicken Cutlet,54,$384.46
Strawberry Sunrise,91,$371.18
Mai BF Chicken Cutlet Combo,22,$386.37
Brown Sugar Rice Cake (5),68,$363.09
Vegetable Tossed Ramen,25,$335.76
Mai OG Fried Chicken Wings(4),56,$305.06
Golden Kiwi,68,$308.61
Pepsi,98,$288.33
Crispy Pork Egg Roll(3),72,$294.48
Onion Glory Fried Chicken(8),28,$283.72
Jumbo Chicken Tenders Combo (3),26,$272.32
Mai Buffalo Chicken Wings(8),27,$274.23
Dr. Pepper,87,$257.85
Sweet Ice Tea,78,$231.16
Steam Pork Bun （3）,33,$223.69
Specialty Drink,71,$205.59
Crispy French Fries(LG),52,$207.76
Sweet Sesame Ball (6) w. red bean,43,$211.83
Tangy Honey Mustard Fried Chicken (8),18,$181.85
Pepsi zero,61,$180.29
Strawberry Milk Tea,39,$186.22
Unsweet Ice Tea,48,$141.77
Braised Chicken,4,$109.59
Lemonade,38,$111.42
Jumbo Chicken Tenders(3),18,$109.98
Chunked Beef,8,$106.24
Hot Tea,37,$109.19
Lychee Jas-Lemonade,23,$102.87
Plain Fried Rice,25,$103.28
Mango Jas-Lemonade,21,$88.84
Strawberry Jas-Lemonade,24,$93.51
White Rice,27,$80.94
Starry - Sprite,22,$64.64
White Rice - DINE IN,42,$62.75
Orange Crush,18,$47.42
Rice Noodle,17,$45.55
Bottled Soda,12,$35.81
Original Jas-Lemonade,7,$32.30
Peach Jas-Lemonade,7,$30.52
Ramen,13,$32.18
Braised Egg （2 half）,16,$27.74
Pepsi Zero,6,$21.96
Blueberry Jas-Lemonade,5,$24.73
Braised Pork,4,$12.68
Tropical Jas-Lemonade,3,$12.62
Ramune - Grape,3,$10.98
Ramune - Strawberry,3,$10.98
北冰洋 Orange Soda,2,$7.32
Braised Egg,3,$6.42
Mai‘s special Sauce,5,$6.15
Bottled Water,3,$5.25
Sweet Tea,1,$3.66
Ramune - Melon,1,$3.66
White Rice-To Go,2,$4.50
Mai‘s Special Sauce,1,$1.00
Water,"2,320",$0.00
Sliced Fruit  - 5 day expiration,1,$0.00
House Tossed Rice Noodle,1,$15.99
